market	symbol	updated	bid	ask	high	low	average	volume	servertime	localtime
BTCE	LTCBTC	1380844801	0.01755	0.01765	0.01797	0.01693	0.01745	2042.78662	1380844801	1380844801
BTCE	LTCBTC	1380844803	0.01755	0.01765	0.01797	0.01693	0.01745	2042.7402	1380844803	1380844802
BTCE	LTCBTC	1380844981	0.01755	0.01765	0.01797	0.01693	0.01745	2037.78905	1380844981	1380844981
BTCE	LTCBTC	1380845109	0.01755	0.01765	0.01797	0.01693	0.01745	2028.10877	1380845108	1380845101
BTCE	LTCBTC	1380845285	0.01756	0.01765	0.01797	0.01693	0.01745	2026.14509	1380845285	1380845281
BTCE	LTCBTC	1380845402	0.01756	0.01764	0.01797	0.01693	0.01745	2021.98624	1380845402	1380845401
BTCE	LTCBTC	1380845581	0.01756	0.01764	0.01797	0.01693	0.01745	2021.80186	1380845581	1380845581
BTCE	LTCBTC	1380845708	0.01756	0.01765	0.01797	0.01693	0.01745	2010.81972	1380845708	1380845701
BTCE	LTCBTC	1380845881	0.01764	0.01765	0.01797	0.01693	0.01745	2009.4854	1380845881	1380845881
BTCE	LTCBTC	1380845883	0.01764	0.01765	0.01797	0.01693	0.01745	2009.4854	1380845883	1380845883
BTCE	LTCBTC	1380846001	0.01764	0.01765	0.01797	0.01693	0.01745	2008.53497	1380846001	1380846001
